Epoch	AvgLoss	AvgDataLoss	AvgPhysLoss	Weight
000	508.987322	27.693351	4812.939713	0.1000
001	26.535788	26.441677	0.941111	0.1000
002	23.562441	23.479296	0.831447	0.1000
003	22.832186	22.738037	0.941488	0.1000
004	22.685589	22.582411	1.031778	0.1000
005	22.264021	22.133324	1.306970	0.1000
006	20.732554	20.617841	1.147130	0.1000
007	18.194900	18.085306	1.095935	0.1000
008	17.952756	17.858657	0.940996	0.1000
009	17.794227	17.714946	0.792813	0.1000
010	17.695790	17.618193	0.775970	0.1000
011	17.472803	17.399359	0.734443	0.1000
012	17.383069	17.306678	0.763908	0.1000
013	17.321974	17.243876	0.780982	0.1000
014	17.199951	17.121673	0.782787	0.1000
015	17.133691	17.058153	0.755376	0.1000
016	17.033550	16.962399	0.711512	0.1000
017	16.968094	16.902306	0.657876	0.1000
018	16.846126	16.781412	0.647133	0.1000
019	16.708383	16.643698	0.646851	0.1000
020	16.662744	16.602412	0.603320	0.1000
021	16.535560	16.474032	0.615275	0.1000
022	16.461290	16.398905	0.623848	0.1000
023	16.051750	15.978924	0.728258	0.1000
024	14.403595	14.322017	0.815787	0.1000
025	12.989128	12.896285	0.928425	0.1000
026	12.577475	12.487173	0.903020	0.1000
027	12.382342	12.289232	0.931104	0.1000
028	13.068963	12.175408	8.935550	0.1000
029	12.019688	11.948926	0.707622	0.1000
030	12.081797	12.007857	0.739398	0.1000
031	12.726699	12.245593	4.811057	0.1000
032	12.075768	11.869977	2.057913	0.1000
033	12.026123	11.879846	1.462772	0.1000
034	12.264310	11.580310	6.839997	0.1000
035	11.687525	11.618623	0.689016	0.1000
036	12.598386	11.524246	10.741395	0.1000
037	11.221665	11.155495	0.661705	0.1000
038	11.286113	11.165626	1.204870	0.1000
039	11.149514	11.061177	0.883365	0.1000
040	10.952131	10.869362	0.827688	0.1000
041	10.763951	10.695297	0.686547	0.1000
042	10.661186	10.611982	0.492048	0.1000
043	10.554603	10.477753	0.768501	0.1000
044	10.866252	10.673004	1.932476	0.1000
045	10.513227	10.428457	0.847703	0.1000
046	10.557248	10.357367	1.998807	0.1000
047	10.649985	10.142788	5.071964	0.1000
048	10.108899	10.038762	0.701362	0.1000
049	10.405138	10.286103	1.190353	0.1000
050	9.907598	9.833310	0.742875	0.1000
051	10.007058	9.885173	1.218850	0.1000
052	29.834148	10.011687	198.224611	0.1000
053	9.759724	9.688687	0.710373	0.1000
054	9.686186	9.618060	0.681254	0.1000
055	9.605797	9.546160	0.596366	0.1000
056	9.524232	9.456642	0.675902	0.1000
057	9.571846	9.519258	0.525873	0.1000
058	9.529219	9.461833	0.673856	0.1000
059	9.767610	9.604693	1.629168	0.1000
060	9.666048	9.549254	1.167938	0.1000
061	9.694927	9.519797	1.751301	0.1000
062	9.701337	9.572868	1.284691	0.1000
063	9.277439	9.224890	0.525482	0.1000
064	9.243371	9.180393	0.629777	0.1000
065	9.198913	9.130248	0.686647	0.1000
066	9.233528	9.154689	0.788388	0.1000
067	9.327141	9.212883	1.142580	0.1000
068	9.355028	9.055199	2.998285	0.1000
069	11.424394	9.127303	22.970916	0.1000
070	9.075704	9.008500	0.672043	0.1000
071	8.909941	8.850044	0.598966	0.1000
