Epoch	AvgLoss	AvgDataLoss	AvgPhysLoss	Weight
000	62148.990276	0.712990	6214.827729	10.0000
001	143.053274	1.042284	14.201099	10.0000
002	1.977322	1.172448	0.080487	10.0000
003	1.324385	1.136513	0.018787	10.0000
004	1.241270	1.097822	0.014345	10.0000
005	1.194233	1.069769	0.012446	10.0000
006	1.188024	1.067647	0.012038	10.0000
007	1.184242	1.065500	0.011874	10.0000
008	1.183771	1.064974	0.011880	10.0000
009	1.183099	1.064789	0.011831	10.0000
010	1.182822	1.064734	0.011809	10.0000
011	1.182500	1.064407	0.011809	10.0000
012	1.182224	1.063940	0.011828	10.0000
013	1.181864	1.064188	0.011768	10.0000
014	1.181378	1.063266	0.011811	10.0000
015	1.180696	1.063127	0.011757	10.0000
016	1.179695	1.062551	0.011714	10.0000
017	1.178048	1.061123	0.011693	10.0000
018	1.175076	1.058642	0.011643	10.0000
019	1.173196	1.055026	0.011817	10.0000
020	1.170146	1.054236	0.011591	10.0000
021	1.168699	1.049788	0.011891	10.0000
022	1.163866	1.050240	0.011363	10.0000
023	1.161457	1.048259	0.011320	10.0000
024	1.163319	1.040373	0.012295	10.0000
025	1.162548	1.045888	0.011666	10.0000
026	1.155070	1.046998	0.010807	10.0000
027	1.154186	1.040820	0.011337	10.0000
028	1.158554	1.040085	0.011847	10.0000
029	1.172967	1.046943	0.012602	10.0000
030	1.165942	1.043632	0.012231	10.0000
031	1.159425	1.045587	0.011384	10.0000
032	1.156166	1.039907	0.011626	10.0000
033	1.157440	1.041441	0.011600	10.0000
034	1.172901	1.043890	0.012901	10.0000
035	1.166961	1.038858	0.012810	10.0000
036	1.171193	1.049869	0.012132	10.0000
037	1.161088	1.043640	0.011745	10.0000
038	1.158352	1.035504	0.012285	10.0000
039	1.164595	1.044259	0.012034	10.0000
040	1.155224	1.038316	0.011691	10.0000
041	1.156951	1.036033	0.012092	10.0000
042	1.156009	1.034957	0.012105	10.0000
043	1.160323	1.042324	0.011800	10.0000
044	1.154098	1.039874	0.011422	10.0000
045	1.151152	1.034828	0.011632	10.0000
046	1.155090	1.036241	0.011885	10.0000
047	1.151003	1.034408	0.011660	10.0000
048	1.153481	1.035278	0.011820	10.0000
049	1.148139	1.037673	0.011047	10.0000
050	1.160902	1.034139	0.012676	10.0000
051	1.160013	1.041554	0.011846	10.0000
052	1.147948	1.029281	0.011867	10.0000
053	1.148768	1.029069	0.011970	10.0000
054	1.148393	1.031600	0.011679	10.0000
055	1.150144	1.032237	0.011791	10.0000
056	1.163776	1.035730	0.012805	10.0000
057	1.155409	1.038684	0.011672	10.0000
058	1.143680	1.032321	0.011136	10.0000
059	1.144335	1.029411	0.011492	10.0000
060	1.156329	1.029960	0.012637	10.0000
061	1.159102	1.031666	0.012744	10.0000
062	1.214688	1.038519	0.017617	10.0000
063	1.157422	1.035481	0.012194	10.0000
064	1.146243	1.033675	0.011257	10.0000
065	1.146985	1.030947	0.011604	10.0000
066	1.146216	1.034693	0.011152	10.0000
067	1.147355	1.030153	0.011720	10.0000
