Epoch	AvgLoss	AvgDataLoss	AvgPhysLoss	Weight
000	0.707160	0.707160	302594.419978	0.0000
001	0.703649	0.703649	3113.645832	0.0000
002	0.696367	0.696367	1177980.800460	0.0000
003	0.691035	0.691035	166434953.054554	0.0000
004	0.689671	0.689671	11459.076214	0.0000
005	0.688894	0.688894	15509.343128	0.0000
006	0.688343	0.688343	17827.634254	0.0000
007	0.687786	0.687786	54428.157005	0.0000
008	0.686929	0.686929	217891.579285	0.0000
009	0.685749	0.685749	61884.015972	0.0000
010	0.684432	0.684432	316706.691068	0.0000
011	0.683518	0.683518	28182.304391	0.0000
012	0.682803	0.682803	47552.881596	0.0000
013	0.681706	0.681706	33272.423249	0.0000
014	0.679678	0.679678	7952.440891	0.0000
015	0.677677	0.677677	21763.274413	0.0000
016	0.677071	0.677071	37753.866552	0.0000
017	0.675760	0.675760	25008.813847	0.0000
018	0.675159	0.675159	12051.939119	0.0000
019	0.674790	0.674790	27833.514042	0.0000
020	0.674299	0.674299	21313.040260	0.0000
021	0.673541	0.673541	14996.483630	0.0000
022	0.672963	0.672963	28543.486365	0.0000
023	0.672728	0.672728	18228.283401	0.0000
024	0.672089	0.672089	17161.137308	0.0000
025	0.672608	0.672608	15265.233417	0.0000
026	0.672145	0.672145	15446.557071	0.0000
027	0.671205	0.671205	24049.120958	0.0000
028	0.670690	0.670690	24444.502880	0.0000
029	0.670169	0.670169	29323.657318	0.0000
030	0.669318	0.669318	22071.771560	0.0000
031	0.668888	0.668888	26079.774874	0.0000
032	0.669388	0.669388	22019.287212	0.0000
033	0.669746	0.669746	20745.076097	0.0000
034	0.667366	0.667366	47898.253870	0.0000
035	0.666555	0.666555	25651.190318	0.0000
036	0.667237	0.667237	38545.935034	0.0000
037	0.666421	0.666421	49679.835210	0.0000
038	0.665819	0.665819	17630.619967	0.0000
039	0.666723	0.666723	25129.941973	0.0000
040	0.665618	0.665618	26102.253800	0.0000
041	0.665401	0.665401	20830.576509	0.0000
042	0.664610	0.664610	31114.670081	0.0000
043	0.663880	0.663880	18992.519359	0.0000
044	0.663871	0.663871	83987.258452	0.0000
045	0.663813	0.663813	20766.481807	0.0000
046	0.663152	0.663152	38839.149052	0.0000
047	0.662418	0.662418	112699.893457	0.0000
048	0.662044	0.662044	52748.224734	0.0000
049	0.662555	0.662555	120603.060089	0.0000
050	0.663140	0.663140	80202.868021	0.0000
051	0.663252	0.663252	2507740.845871	0.0000
052	0.661679	0.661679	18002.795909	0.0000
053	0.662016	0.662016	27660.636096	0.0000
054	0.661260	0.661260	40667.091487	0.0000
055	0.661757	0.661757	25071.730095	0.0000
056	0.660628	0.660628	68061.160923	0.0000
057	0.659984	0.659984	22954.417689	0.0000
058	0.659601	0.659601	32108.845563	0.0000
059	0.659327	0.659327	41700.837984	0.0000
060	0.658971	0.658971	379321.919031	0.0000
061	0.657736	0.657736	140883.150014	0.0000
062	0.657824	0.657824	265231.723545	0.0000
063	0.658701	0.658701	333792.927930	0.0000
064	0.657594	0.657594	1313878.761276	0.0000
065	0.657176	0.657176	2128541.721016	0.0000
066	0.656199	0.656199	6639972.863459	0.0000
067	0.655668	0.655668	7322270.330598	0.0000
068	0.656349	0.656349	7556524.976354	0.0000
069	0.655671	0.655671	7583276.732198	0.0000
070	0.655028	0.655028	4806274.301341	0.0000
071	0.655855	0.655855	5527847.554429	0.0000
072	0.654445	0.654445	8025008.242242	0.0000
073	0.654724	0.654724	6406796.454108	0.0000
074	0.654563	0.654563	15882085.541786	0.0000
075	0.652752	0.652752	13283879.782491	0.0000
076	0.650985	0.650985	8076189.908150	0.0000
077	0.651589	0.651589	3460937.691545	0.0000
078	0.652401	0.652401	7107677.112049	0.0000
079	0.656148	0.656148	8570496.540621	0.0000
080	272506.465876	0.958541	27250.550734	10.0000
081	3.477604	1.086223	0.239138	10.0000
082	1.232791	1.043024	0.018977	10.0000
083	1.165987	1.041593	0.012439	10.0000
084	1.142616	1.035577	0.010704	10.0000
085	1.148708	1.036261	0.011245	10.0000
086	1.146631	1.037544	0.010909	10.0000
087	1.148509	1.038379	0.011013	10.0000
088	1.144906	1.035843	0.010906	10.0000
089	1.138831	1.031433	0.010740	10.0000
090	1.146809	1.027476	0.011933	10.0000
091	1.148651	1.028756	0.011990	10.0000
092	1.157377	1.029150	0.012823	10.0000
093	1.183800	1.040256	0.014354	10.0000
094	1.155041	1.030255	0.012479	10.0000
095	1.153618	1.030853	0.012277	10.0000
096	1.147305	1.033692	0.011361	10.0000
097	1.144615	1.029292	0.011532	10.0000
098	1.147552	1.031414	0.011614	10.0000
099	1.143356	1.026973	0.011638	10.0000
100	1.153993	1.027925	0.012607	10.0000
101	1.154540	1.032704	0.012184	10.0000
