Epoch	AvgLoss	AvgDataLoss	AvgPhysLoss	Weight
000	196.273538	0.709969	195563.568502	0.0010
001	3.741642	0.712710	635.820071	0.0048
002	0.952063	0.736305	25.301036	0.0085
003	0.812205	0.804269	0.645644	0.0123
004	0.787379	0.752732	2.157988	0.0161
005	0.792845	0.751123	2.105132	0.0198
006	0.792877	0.771189	0.919622	0.0236
007	0.796137	0.773411	0.831006	0.0273
008	0.798795	0.764455	1.103820	0.0311
009	0.802332	0.766186	1.036459	0.0349
010	0.805030	0.775025	0.776581	0.0386
011	0.807818	0.776842	0.730539	0.0424
012	0.810546	0.774547	0.779785	0.0462
013	0.813123	0.777582	0.711826	0.0499
014	0.815577	0.781567	0.633418	0.0537
015	0.817913	0.781315	0.636970	0.0575
016	0.820223	0.783002	0.607964	0.0612
017	0.822397	0.785148	0.573200	0.0650
018	0.824503	0.786217	0.556894	0.0687
019	0.826544	0.787754	0.534948	0.0725
020	0.828501	0.789201	0.515224	0.0763
021	0.830394	0.790528	0.498073	0.0800
022	0.832219	0.791634	0.484284	0.0838
023	0.833988	0.793248	0.465249	0.0876
024	0.835704	0.794420	0.452027	0.0913
025	0.837375	0.795581	0.439503	0.0951
026	0.838986	0.796720	0.427538	0.0989
027	0.840566	0.797907	0.415690	0.1026
028	0.842095	0.798990	0.405175	0.1064
029	0.843589	0.800223	0.393698	0.1102
030	0.845045	0.800930	0.387259	0.1139
031	0.846462	0.802505	0.373538	0.1177
032	0.847854	0.802976	0.369541	0.1214
033	0.849194	0.804135	0.359877	0.1252
034	0.850511	0.805438	0.349480	0.1290
035	0.851778	0.805791	0.346462	0.1327
036	0.852950	0.806932	0.337133	0.1365
037	0.853872	0.807595	0.329930	0.1403
038	0.853801	0.806559	0.328013	0.1440
039	0.851783	0.804628	0.319066	0.1478
040	0.847653	0.797984	0.327732	0.1516
041	0.843216	0.795342	0.308237	0.1553
042	0.842058	0.792128	0.313863	0.1591
043	0.841529	0.793595	0.294354	0.1628
044	0.841585	0.792911	0.292147	0.1666
045	0.841676	0.792882	0.286397	0.1704
046	0.841548	0.792195	0.283416	0.1741
047	0.842186	0.792319	0.280311	0.1779
048	0.841167	0.791815	0.271670	0.1817
049	0.840559	0.790617	0.269333	0.1854
050	0.839305	0.789194	0.264867	0.1892
051	0.839820	0.790468	0.255773	0.1930
052	0.838573	0.788566	0.254203	0.1967
053	0.837287	0.787298	0.249346	0.2005
054	0.835365	0.786628	0.238618	0.2042
055	0.832943	0.784672	0.232058	0.2080
056	0.831408	0.784322	0.222338	0.2118
057	0.831020	0.781545	0.229543	0.2155
058	0.830716	0.780584	0.228601	0.2193
059	0.831797	0.780129	0.231631	0.2231
060	0.830638	0.780383	0.221552	0.2268
061	0.827361	0.776765	0.219417	0.2306
062	0.824958	0.774700	0.214449	0.2344
063	0.822675	0.775606	0.197665	0.2381
064	0.822365	0.774732	0.196927	0.2419
065	0.822221	0.774976	0.192329	0.2456
066	0.823700	0.774600	0.196866	0.2494
067	0.824390	0.776423	0.189460	0.2532
068	0.826358	0.777412	0.190495	0.2569
069	0.827314	0.775271	0.199623	0.2607
070	0.828180	0.779109	0.185547	0.2645
071	0.828205	0.776423	0.193049	0.2682
072	0.828033	0.778363	0.182617	0.2720
073	0.828751	0.779143	0.179896	0.2758
074	0.828722	0.778753	0.178766	0.2795
075	0.829050	0.778507	0.178418	0.2833
076	0.829818	0.779213	0.176294	0.2871
077	0.831053	0.780057	0.175354	0.2908
078	0.832206	0.779611	0.178543	0.2946
079	0.833389	0.779725	0.179873	0.2983
080	0.834306	0.782059	0.172942	0.3021
081	0.835782	0.782666	0.173654	0.3059
