Epoch	AvgLoss	AvgDataLoss	AvgPhysLoss	Weight
000	0.707314	0.707314	111825.434408	0.0000
001	0.703221	0.703221	10317.234344	0.0000
002	0.693330	0.693330	15143782.801472	0.0000
003	0.689077	0.689077	51178.094781	0.0000
004	0.687840	0.687840	28802.742396	0.0000
005	0.684924	0.684924	7774573.527883	0.0000
006	0.681715	0.681715	20243.985402	0.0000
007	0.678059	0.678059	42665.204976	0.0000
008	0.674391	0.674391	19852.002880	0.0000
009	0.673121	0.673121	11477.474592	0.0000
010	0.671687	0.671687	19483.388506	0.0000
011	0.671517	0.671517	13720.457144	0.0000
012	0.671116	0.671116	18160.535244	0.0000
013	0.670711	0.670711	14498.278436	0.0000
014	0.669818	0.669818	9805.683599	0.0000
015	0.670112	0.670112	7461.959462	0.0000
016	0.669145	0.669145	25606.708062	0.0000
017	0.668646	0.668646	12515.624356	0.0000
018	0.667503	0.667503	11740.872828	0.0000
019	0.667220	0.667220	49450.624192	0.0000
020	0.667298	0.667298	15373.394899	0.0000
021	0.666321	0.666321	52862.063709	0.0000
022	0.664957	0.664957	463875.853060	0.0000
023	0.664013	0.664013	122328.079679	0.0000
024	0.663529	0.663529	4117760.607433	0.0000
025	0.664269	0.664269	2810573.955572	0.0000
026	0.662015	0.662015	57064.617934	0.0000
027	0.660779	0.660779	5650045.372945	0.0000
028	0.660399	0.660399	138120.480002	0.0000
029	0.659421	0.659421	402743.107168	0.0000
030	0.659542	0.659542	173768.895773	0.0000
031	0.658898	0.658898	2426193.261817	0.0000
032	0.657350	0.657350	2660686.256171	0.0000
033	0.656288	0.656288	346144.883844	0.0000
034	0.653660	0.653660	5683902.253513	0.0000
035	0.653570	0.653570	11192546.465948	0.0000
036	0.652046	0.652046	10876362.299429	0.0000
037	0.653954	0.653954	8148528.850342	0.0000
038	0.653760	0.653760	6153644.055470	0.0000
039	0.652235	0.652235	17020611.919797	0.0000
040	0.649540	0.649540	15535014.911164	0.0000
041	0.642706	0.642706	8119259.537464	0.0000
042	0.643425	0.643425	2680473.921012	0.0000
043	0.642970	0.642970	199769.986431	0.0000
044	0.639820	0.639820	131951.804172	0.0000
045	0.638842	0.638842	139760.793627	0.0000
046	0.635463	0.635463	122543.062048	0.0000
047	0.636254	0.636254	288927.361531	0.0000
048	0.634387	0.634387	917211.459392	0.0000
049	0.632425	0.632425	236046.147457	0.0000
