Epoch	AvgLoss	AvgDataLoss	AvgPhysLoss	Weight
000	1781.948847	0.712430	1781236.417621	0.0010
001	1.890365	0.712047	1178.317549	0.0010
002	0.771541	0.732212	39.329247	0.0010
003	0.751663	0.748197	3.465960	0.0010
004	0.732670	0.720101	12.568532	0.0010
005	0.731696	0.716812	14.884025	0.0010
006	0.729303	0.719088	10.214983	0.0010
007	0.729029	0.721455	7.573973	0.0010
008	0.728474	0.720846	7.627988	0.0010
009	0.727800	0.718969	8.830384	0.0010
010	0.727575	0.717976	9.598410	0.0010
011	0.727280	0.717993	9.287133	0.0010
012	0.726894	0.718403	8.490589	0.0010
013	0.726425	0.718517	7.907985	0.0010
014	0.725725	0.717556	8.168645	0.0010
015	0.724967	0.715885	9.082273	0.0010
016	0.724264	0.714227	10.037312	0.0010
017	0.723322	0.712918	10.403938	0.0010
018	0.722368	0.712297	10.070532	0.0010
019	0.721778	0.712112	9.665823	0.0010
020	0.721274	0.711690	9.584545	0.0010
021	0.720727	0.711126	9.600880	0.0010
022	0.720231	0.710516	9.715203	0.0010
023	0.719794	0.710245	9.549100	0.0010
024	0.719330	0.709773	9.557039	0.0010
025	0.718874	0.709512	9.362444	0.0010
026	0.718408	0.709060	9.347666	0.0010
027	0.717929	0.708444	9.485107	0.0010
028	0.717467	0.708043	9.423995	0.0010
029	0.716955	0.707662	9.292545	0.0010
030	0.716457	0.706907	9.549482	0.0010
031	0.716233	0.706953	9.279450	0.0010
032	0.715603	0.706131	9.472261	0.0010
033	0.714897	0.705708	9.189207	0.0010
034	0.714069	0.704862	9.207045	0.0010
035	0.712810	0.703509	9.300350	0.0010
036	0.710646	0.700875	9.770944	0.0010
037	0.707773	0.698886	8.886993	0.0010
038	0.703633	0.695068	8.564738	0.0010
039	0.701889	0.694232	7.656197	0.0010
040	0.700676	0.692652	8.024106	0.0010
041	0.699797	0.692100	7.696710	0.0010
042	0.698313	0.691208	7.104296	0.0010
043	0.697591	0.690002	7.589504	0.0010
044	0.696590	0.689719	6.871196	0.0010
045	0.695844	0.688563	7.280626	0.0010
046	0.695268	0.688330	6.938154	0.0010
047	0.695229	0.688118	7.110623	0.0010
048	0.694505	0.687359	7.145310	0.0010
049	0.693752	0.686681	7.070842	0.0010
050	0.693148	0.686322	6.826279	0.0010
051	0.692705	0.685715	6.989778	0.0010
052	0.692285	0.685512	6.772942	0.0010
053	0.692856	0.685863	6.992924	0.0010
054	0.692449	0.685242	7.207645	0.0010
055	0.691763	0.685036	6.727717	0.0010
056	0.691187	0.684663	6.523868	0.0010
057	0.690431	0.683231	7.199873	0.0010
058	0.689699	0.682715	6.984109	0.0010
059	0.688728	0.682108	6.620489	0.0010
060	0.690502	0.683842	6.660356	0.0010
061	0.688639	0.681729	6.909754	0.0010
062	0.687406	0.680298	7.107626	0.0010
063	0.687042	0.680738	6.303318	0.0010
064	0.687115	0.680148	6.966325	0.0010
065	0.687654	0.680653	7.001163	0.0010
066	0.686794	0.680155	6.639173	0.0010
067	0.685728	0.679027	6.700805	0.0010
068	0.684106	0.677276	6.830598	0.0010
069	0.683542	0.677012	6.529667	0.0010
070	0.683113	0.676451	6.662105	0.0010
071	0.683288	0.676416	6.871194	0.0010
072	0.684632	0.678217	6.415259	0.0010
073	0.683652	0.676946	6.706030	0.0010
074	0.681807	0.674723	7.083918	0.0010
075	0.682069	0.675658	6.411097	0.0010
076	0.681955	0.675305	6.649681	0.0010
077	0.684115	0.676881	7.234248	0.0010
078	0.682848	0.676332	6.516164	0.0010
079	0.680253	0.673629	6.624112	0.0010
080	0.680218	0.673371	6.847486	0.0010
081	0.679828	0.673115	6.712457	0.0010
082	0.679894	0.673229	6.665260	0.0010
083	0.682970	0.676413	6.556380	0.0010
084	0.681920	0.674996	6.924143	0.0010
085	0.679001	0.671976	7.024931	0.0010
086	0.678377	0.671818	6.559418	0.0010
087	0.677392	0.670846	6.546389	0.0010
088	0.677409	0.670528	6.880722	0.0010
089	0.679425	0.672492	6.933078	0.0010
090	0.679082	0.672425	6.657759	0.0010
091	0.677727	0.671190	6.536266	0.0010
092	0.676721	0.670043	6.678466	0.0010
093	0.674390	0.667733	6.657349	0.0010
094	0.672904	0.666373	6.531183	0.0010
095	0.672659	0.666192	6.467050	0.0010
096	0.670283	0.664002	6.281143	0.0010
097	0.669581	0.663314	6.266356	0.0010
098	0.668311	0.661565	6.745592	0.0010
099	0.667381	0.661091	6.290028	0.0010
100	0.667335	0.661078	6.257081	0.0010
101	0.665119	0.658298	6.820495	0.0010
102	0.665042	0.658300	6.741743	0.0010
103	0.664505	0.658202	6.302845	0.0010
104	0.666339	0.659679	6.659809	0.0010
105	0.665137	0.658368	6.769402	0.0010
