Epoch	AvgLoss	AvgDataLoss	AvgPhysLoss	Weight
000	0.706134	0.706134	494470.928320	0.0000
001	0.702897	0.702897	6530.660889	0.0000
002	0.694487	0.694487	28337440.763160	0.0000
003	0.690149	0.690149	9371.786600	0.0000
004	0.689226	0.689226	9260.497832	0.0000
005	0.688724	0.688724	16336.739240	0.0000
006	0.688234	0.688234	20675.607532	0.0000
007	0.687356	0.687356	42799.984801	0.0000
008	0.685549	0.685549	55835.963533	0.0000
009	0.684210	0.684210	15482.709891	0.0000
010	0.682751	0.682751	6336.311443	0.0000
011	0.681086	0.681086	57157.491179	0.0000
012	0.678751	0.678751	87337.447108	0.0000
013	0.676954	0.676954	19854.539687	0.0000
014	0.675227	0.675227	25033.448228	0.0000
015	0.673782	0.673782	24998.247702	0.0000
016	0.673025	0.673025	21962.830680	0.0000
017	0.671882	0.671882	16803.256360	0.0000
018	0.672526	0.672526	41290.405339	0.0000
019	0.671720	0.671720	27613.750816	0.0000
020	0.670309	0.670309	24175.335090	0.0000
021	0.669599	0.669599	50301.033443	0.0000
022	0.669279	0.669279	37763.368351	0.0000
023	0.669839	0.669839	39990.237959	0.0000
024	0.669085	0.669085	57331.007621	0.0000
025	0.668245	0.668245	49646.643154	0.0000
026	0.668237	0.668237	31919.693580	0.0000
027	0.668114	0.668114	54150.017701	0.0000
028	0.667960	0.667960	52175.440481	0.0000
029	0.667306	0.667306	49770.972286	0.0000
030	0.667340	0.667340	60036.442069	0.0000
031	0.666941	0.666941	58375.610234	0.0000
032	0.666085	0.666085	93160.441517	0.0000
033	0.665594	0.665594	57266.888974	0.0000
034	0.665047	0.665047	78200.371480	0.0000
035	0.664328	0.664328	104582.965942	0.0000
036	0.664118	0.664118	128889.316974	0.0000
037	0.665114	0.665114	144027.809356	0.0000
038	0.664030	0.664030	138046.217745	0.0000
039	0.663438	0.663438	131588.234850	0.0000
040	0.662210	0.662210	727273.667251	0.0000
041	0.663171	0.663171	169313.113430	0.0000
042	0.662137	0.662137	176601.952487	0.0000
043	0.660430	0.660430	241850.785300	0.0000
044	0.659524	0.659524	170009.100131	0.0000
045	0.658943	0.658943	1953632.727139	0.0000
046	0.657289	0.657289	403611.727944	0.0000
047	0.660755	0.660755	2161888.961754	0.0000
048	0.655566	0.655566	1790493.094598	0.0000
049	0.657214	0.657214	1502188.998869	0.0000
050	0.655669	0.655669	613848.951682	0.0000
051	0.651680	0.651680	1011210.469035	0.0000
052	0.649030	0.649030	1015175.702705	0.0000
053	0.650034	0.650034	949489.672910	0.0000
054	0.658838	0.658838	510328.344641	0.0000
055	0.648590	0.648590	396859.335389	0.0000
056	0.647549	0.647549	700437.145154	0.0000
057	0.654941	0.654941	536473.396227	0.0000
