Epoch	AvgLoss	AvgDataLoss	AvgPhysLoss	Weight
000	0.706537	0.706537	249646.222348	0.0000
001	0.701132	0.701132	7749.562926	0.0000
002	0.691141	0.691141	322373.862109	0.0000
003	0.689327	0.689327	27317.032719	0.0000
004	0.688569	0.688569	54565.751840	0.0000
005	0.688029	0.688029	33411.702301	0.0000
006	0.687251	0.687251	103785.921774	0.0000
007	0.684966	0.684966	23733.117991	0.0000
008	0.681298	0.681298	2275.826876	0.0000
009	0.679522	0.679522	25688.905918	0.0000
010	0.676558	0.676558	34589.808080	0.0000
011	0.674927	0.674927	21276.561000	0.0000
012	0.673599	0.673599	17044.693786	0.0000
013	0.672276	0.672276	26562.360618	0.0000
014	0.671533	0.671533	14049.756173	0.0000
015	0.672046	0.672046	26353.606798	0.0000
016	0.670736	0.670736	18202.310484	0.0000
017	0.670505	0.670505	4139460.764521	0.0000
018	0.669803	0.669803	3546747.175129	0.0000
019	0.668682	0.668682	153779.213713	0.0000
020	0.667722	0.667722	65033.223998	0.0000
021	0.667552	0.667552	63467.581423	0.0000
022	0.667388	0.667388	200590.470939	0.0000
023	0.666521	0.666521	4404813.748939	0.0000
024	0.666634	0.666634	4050257.886725	0.0000
025	0.665666	0.665666	3022172.596041	0.0000
026	0.664244	0.664244	151612.326488	0.0000
027	0.664523	0.664523	4062068.501822	0.0000
028	0.664810	0.664810	242844.944639	0.0000
029	0.664328	0.664328	4623256.952936	0.0000
030	0.663035	0.663035	3111129.010522	0.0000
031	0.662281	0.662281	284493.524093	0.0000
032	0.661224	0.661224	1754962.646087	0.0000
033	0.660729	0.660729	279480.998024	0.0000
034	0.656514	0.656514	248942.853637	0.0000
035	0.665182	0.665182	4682540.622270	0.0000
036	0.657362	0.657362	265561.461319	0.0000
037	0.655019	0.655019	388303.455988	0.0000
038	0.653454	0.653454	13713816.683857	0.0000
039	0.654256	0.654256	8917912.246194	0.0000
040	0.655228	0.655228	14018864.369156	0.0000
041	0.655148	0.655148	15874425.067052	0.0000
042	0.655150	0.655150	7924778.715317	0.0000
043	0.653375	0.653375	4767316.934323	0.0000
044	0.649393	0.649393	6906582.924308	0.0000
045	0.647500	0.647500	8501321.697761	0.0000
046	0.656552	0.656552	4080489.479544	0.0000
047	0.652636	0.652636	9344493.798120	0.0000
048	0.648891	0.648891	5231450.961203	0.0000
049	0.651530	0.651530	2728071.436172	0.0000
050	0.650516	0.650516	999316.713505	0.0000
051	0.645580	0.645580	1200081.513035	0.0000
052	0.647419	0.647419	769279.859936	0.0000
053	0.644681	0.644681	493847.784000	0.0000
054	0.640992	0.640992	352742.993499	0.0000
055	0.640127	0.640127	446833.392217	0.0000
056	0.637782	0.637782	356923.406598	0.0000
057	0.635968	0.635968	290775.875031	0.0000
058	0.638204	0.638204	321632.011482	0.0000
059	0.637100	0.637100	308787.103766	0.0000
060	0.632849	0.632849	295078.908304	0.0000
061	0.632332	0.632332	384458.751347	0.0000
062	0.632885	0.632885	440143.411293	0.0000
063	0.634542	0.634542	535647.305594	0.0000
064	0.631020	0.631020	496655.293664	0.0000
065	0.626726	0.626726	2472062.243566	0.0000
066	0.626237	0.626237	551767.120068	0.0000
067	0.626287	0.626287	766844.469106	0.0000
068	0.628234	0.628234	875175.394403	0.0000
069	0.623221	0.623221	795723.905137	0.0000
070	0.622802	0.622802	603209.411763	0.0000
071	0.621685	0.621685	538102.242618	0.0000
072	0.623171	0.623171	532757.638400	0.0000
073	0.621435	0.621435	543250.245222	0.0000
074	0.631573	0.631573	253376.134460	0.0000
075	0.617397	0.617397	632465.596009	0.0000
076	0.619231	0.619231	619359.232198	0.0000
077	0.617016	0.617016	500750.657723	0.0000
078	0.614651	0.614651	578414.871558	0.0000
079	0.611146	0.611146	647767.572595	0.0000
080	0.623737	0.623737	536769.039906	0.0000
081	0.618617	0.618617	647715.583239	0.0000
082	0.614381	0.614381	710016.959740	0.0000
083	0.619671	0.619671	680761.462345	0.0000
084	0.622789	0.622789	599517.300788	0.0000
085	0.626535	0.626535	1020482.865452	0.0000
086	0.624812	0.624812	765486.429617	0.0000
087	0.613927	0.613927	946623.433630	0.0000
088	0.614017	0.614017	613172.184742	0.0000
089	0.617474	0.617474	701093.552989	0.0000
090	0.611754	0.611754	1126576.470564	0.0000
091	0.620532	0.620532	883178.367835	0.0000
092	0.613965	0.613965	1068888.294289	0.0000
093	0.613870	0.613870	1103302.512670	0.0000
094	0.608520	0.608520	800347.946215	0.0000
095	0.610089	0.610089	765821.339864	0.0000
096	0.614719	0.614719	1552079.784465	0.0000
097	0.617010	0.617010	1019723.117458	0.0000
098	0.609627	0.609627	1896714.288293	0.0000
099	0.607536	0.607536	963286.120271	0.0000
100	0.608821	0.608821	1278339.950420	0.0000
101	0.617737	0.617737	973129.841012	0.0000
102	0.615096	0.615096	907473.542212	0.0000
103	0.617074	0.617074	983686.661338	0.0000
104	0.611301	0.611301	1099224.524034	0.0000
105	0.614074	0.614074	1248032.681459	0.0000
106	0.611309	0.611309	692268.276630	0.0000
107	0.607973	0.607973	889589.425314	0.0000
108	0.610076	0.610076	1017489.371568	0.0000
109	0.606543	0.606543	1258588.275143	0.0000
110	0.609551	0.609551	1035888.295450	0.0000
111	0.611169	0.611169	1621863.016549	0.0000
112	0.600043	0.600043	1362235.504566	0.0000
113	0.597873	0.597873	967973.620436	0.0000
114	0.597129	0.597129	1063844.678391	0.0000
115	0.598314	0.598314	1241535.387544	0.0000
116	0.597724	0.597724	1167681.982338	0.0000
117	0.595784	0.595784	1568876.443459	0.0000
118	0.596295	0.596295	1347598.755131	0.0000
119	0.599834	0.599834	2066938.123301	0.0000
120	0.597059	0.597059	1537386.887138	0.0000
121	0.598898	0.598898	1608584.137305	0.0000
122	0.594308	0.594308	1540409.197668	0.0000
123	0.600280	0.600280	1212128.913569	0.0000
124	0.604654	0.604654	1749161.760152	0.0000
125	0.599176	0.599176	1756019.881456	0.0000
126	0.596414	0.596414	1868985.614377	0.0000
127	0.602552	0.602552	1685236.955217	0.0000
128	0.601805	0.601805	2012777.033825	0.0000
129	0.593580	0.593580	2145464.591298	0.0000
130	0.590638	0.590638	1842014.668222	0.0000
131	0.596365	0.596365	1379694.643908	0.0000
132	0.598369	0.598369	1311148.340019	0.0000
133	0.595628	0.595628	1070609.371899	0.0000
134	0.593527	0.593527	1669562.047988	0.0000
135	0.597148	0.597148	1084881.990368	0.0000
136	0.597320	0.597320	1291831.599399	0.0000
137	0.590956	0.590956	1382420.346837	0.0000
138	0.593046	0.593046	1379041.385897	0.0000
139	0.597755	0.597755	1158574.562270	0.0000
140	0.603137	0.603137	883743.943085	0.0000
141	0.600687	0.600687	1075862.805767	0.0000
142	0.591734	0.591734	2215030.773388	0.0000
143	0.588370	0.588370	1721334.849162	0.0000
144	0.589360	0.589360	1574645.627922	0.0000
145	0.596315	0.596315	2069209.767533	0.0000
146	0.597667	0.597667	763322.904324	0.0000
147	0.597308	0.597308	2255806.922400	0.0000
148	0.593756	0.593756	1259019.856355	0.0000
149	0.591022	0.591022	1766773.353526	0.0000
150	0.591551	0.591551	1244741.734889	0.0000
151	0.588459	0.588459	2186463.464691	0.0000
152	0.590706	0.590706	1240707.381299	0.0000
153	0.594142	0.594142	1703450.124643	0.0000
154	0.586809	0.586809	1491285.535477	0.0000
155	0.585955	0.585955	2949284.951874	0.0000
156	0.587477	0.587477	2295049.970843	0.0000
157	0.586141	0.586141	3374585.001989	0.0000
158	0.584091	0.584091	2265078.503570	0.0000
159	0.592850	0.592850	2620262.225305	0.0000
160	0.607340	0.607340	2265195.516360	0.0000
161	0.596878	0.596878	2475389.904474	0.0000
162	0.592678	0.592678	2222081.279097	0.0000
163	0.590002	0.590002	2843160.808930	0.0000
164	0.583178	0.583178	3564988.251999	0.0000
165	0.580490	0.580490	3242768.439692	0.0000
166	0.585374	0.585374	3289437.377359	0.0000
167	0.586477	0.586477	3396738.735860	0.0000
168	0.587004	0.587004	3256560.725827	0.0000
169	0.583857	0.583857	4083021.412978	0.0000
170	0.586178	0.586178	2814924.727982	0.0000
171	0.591327	0.591327	3415493.654275	0.0000
172	0.592532	0.592532	2438182.448693	0.0000
173	0.582922	0.582922	3367046.374867	0.0000
174	0.590316	0.590316	2431747.079734	0.0000
175	0.588098	0.588098	2567489.946227	0.0000
176	0.585693	0.585693	4393328.084453	0.0000
177	0.585442	0.585442	2724676.456472	0.0000
